shopping_id,loja_nome,segmento,cupons,clientes,valor_total,ticket_medio,shopping_sigla,ranking
2,Camarão Express,Gastronomia,18,12,1198.3,66.57,BS,127
2,Cores em Cacau,Gastronomia,2,2,1165.2,582.6,BS,128
2,Orientali,Gastronomia,17,13,1106.5,65.09,BS,129
2,Giraffa's,Gastronomia,17,15,1053.5,61.97,BS,130
2,Sephora,Beleza e Bem-estar,1,1,1043.16,1043.16,BS,131
2,Subway,Gastronomia,24,16,1033.2,43.05,BS,132
2,Burger King,Gastronomia,19,15,1030.5,54.24,BS,133
2,10 Pastéis,Gastronomia,28,17,1025.35,36.62,BS,134
2,Duladu,Gastronomia,5,4,1019.7,203.94,BS,135
2,Pampile,Infantil,4,4,1019.39,254.85,BS,136
2,Lacoste,Moda,2,2,1018.0,509.0,BS,137
2,Bonna Panquecas e Massas,Gastronomia,18,12,1002.5,55.69,BS,138
2,World Tennis,Calçados,4,4,987.97,246.99,BS,139
2,Gnc Balneario,Lazer,14,11,922.0,65.86,BS,140
2,Loft,Eletrônicos,3,3,857.9,285.97,BS,141
2,Growfit,Gastronomia,8,7,791.5,98.94,BS,142
2,Liquori Caffè Gourmet,Gastronomia,18,14,784.0,43.56,BS,143
2,Shantal Grill & Risoto,Gastronomia,6,4,743.1,123.85,BS,144
2,Rip Curl,Moda,1,1,729.97,729.97,BS,145
2,Animale,Moda Feminina,1,1,678.3,678.3,BS,146
2,Shoulder,Moda Feminina,1,1,659.0,659.0,BS,147
2,Sinhá Benta,Gastronomia,10,10,609.9,60.99,BS,148
2,Buddha Spa,Serviços,3,2,608.0,202.67,BS,149
2,Bondyou,Presentes e Acessórios,7,6,602.2,86.03,BS,150
2,Bread Pide,Gastronomia,12,11,562.07,46.84,BS,151
2,"Quem disse, Berenice?",Beleza e Bem-estar,8,7,553.42,69.18,BS,152
2,Creamy Skin Care,Beleza e Bem-estar,4,4,474.57,118.64,BS,153
2,Valenttina,Moda Feminina,4,3,394.8,98.7,BS,154
2,Tea Shop,Gastronomia,4,4,383.18,95.8,BS,155
2,Patbo,Moda Feminina,1,1,375.0,375.0,BS,156
2,Água de coco,Moda Feminina,1,1,349.0,349.0,BS,157
2,Mr. Cheff,Gastronomia,8,4,339.9,42.49,BS,158
2,Riachuelo,Moda,1,1,299.94,299.94,BS,159
2,Jah Açaí,Gastronomia,10,6,292.5,29.25,BS,160
2,Bob's,Gastronomia,11,9,280.8,25.53,BS,161
2,Los Mariachis,Gastronomia,4,1,223.0,55.75,BS,162
2,Pecorino,Gastronomia,1,1,204.53,204.53,BS,163
2,Chilli Beans,Ótica,1,1,199.98,199.98,BS,164
2,Clube Melissa,Calçados,2,2,190.9,95.45,BS,165
2,Acium,Presentes e Acessórios,1,1,184.81,184.81,BS,166
2,Nutty Bavarian,Gastronomia,3,3,126.0,42.0,BS,167
2,Juistreet,Gastronomia,3,2,98.8,32.93,BS,168
2,Roasted Potato & Suco Bagaço,Gastronomia,8,7,87.0,10.88,BS,169
2,Fun Case,Eletrônicos,2,2,73.0,36.5,BS,170
2,Milky moo,Gastronomia,1,1,59.0,59.0,BS,171
3,Renner,Moda,330,247,88390.57,267.85,NK,1
3,Joalheria Baier,Joalheria,4,4,55365.0,13841.25,NK,2
3,Centauro,Esportes,146,120,52855.58,362.02,NK,3
3,Shoulder,Moda Feminina,52,43,52306.25,1005.89,NK,4
3,Havan,Casa e Decoração,210,171,50577.2,240.84,NK,5
3,Riachuelo,Moda,187,156,44387.7,237.37,NK,6
3,Vivara,Joalheria,19,19,38837.36,2044.07,NK,7
3,Lindt,Gastronomia,190,149,38191.52,201.01,NK,8
3,Cacau Show,Gastronomia,243,191,37372.22,153.8,NK,9
3,Óticas Carol,Ótica,20,19,34004.79,1700.24,NK,10
3,LOJAS AMERICANAS,Eletrodomésticos,419,261,29477.92,70.35,NK,11
3,Brooksfield,Moda,22,20,28576.93,1298.95,NK,12
3,Swarovski,Joalheria,12,12,24262.0,2021.83,NK,13
3,Ri Happy,Infantil,111,90,23694.51,213.46,NK,14
3,Adidas,Esportes,33,32,22584.9,684.39,NK,15
3,Livrarias Catarinense,Livrarias,222,172,21191.05,95.46,NK,16
3,Me.Linda,Beleza e Bem-estar,142,120,21004.38,147.92,NK,17
3,Samsung,Eletrônicos,3,2,20892.0,6964.0,NK,18
3,Cia do Homem,Moda,30,26,20773.6,692.45,NK,19
3,Le Lis,Moda,18,16,20471.11,1137.28,NK,20
3,Kalunga,Papelaria,212,164,20043.3,94.54,NK,21
3,Arezzo,Calçados,35,30,19850.72,567.16,NK,22
3,Madero,Gastronomia,109,86,19635.51,180.14,NK,23
3,Kopenhagen,Gastronomia,163,114,18223.66,111.8,NK,24
3,Luz da Lua,Calçados,21,18,18073.3,860.63,NK,25
3,Vivo,Telefonia,3,2,17308.6,5769.53,NK,26
3,Avatim,Beleza e Bem-estar,106,99,17288.0,163.09,NK,27
3,Idéli.Oui,Beleza e Bem-estar,38,32,16948.29,446.01,NK,28
3,Panvel Farmácias,Farmácias,149,115,15445.84,103.66,NK,29
3,Damyller,Moda,13,12,15404.0,1184.92,NK,30
3,JCanedo,Moda,19,17,15216.68,800.88,NK,31
