shopping_id,cnpj,loja_nome,segmento,status_atual,last_time,data_inativacao,cupons,clientes,valor_total,shopping_sigla,participou,inativada_na_promo
2,13257648006988,Sunglass Hut,Ótica,ATIVO,2024-12-11 21:24:20,,3,3,6544.5,BS,True,False
2,07704261000131,Kipling,Presentes e Acessórios,ATIVO,2024-12-11 21:24:20,,12,9,6522.4,BS,True,False
2,09054385033310,Ellus,Moda,ATIVO,2026-03-20 14:15:30,,4,4,6345.85,BS,True,False
2,59321504000318,Saint Germain,Joalheria,ATIVO,2025-06-13 09:10:08,,12,11,6261.6,BS,True,False
2,60975658000655,Colcci,Moda,ATIVO,2025-11-12 13:18:25,,6,6,6239.0,BS,True,False
2,21758666000183,Paladare Di Italia,Gastronomia,ATIVO,2024-12-11 21:24:20,,69,40,6033.6,BS,True,False
2,28240079000147,Calvin Klein,Moda,ATIVO,2024-12-11 21:24:20,,10,10,5924.0,BS,True,False
2,12879361000139,Coach,Moda Feminina,ATIVO,2025-12-09 11:01:41,,2,2,5886.2,BS,True,False
2,26380916000108,Tip Top,Infantil,ATIVO,2024-12-11 21:24:20,,19,18,5786.74,BS,True,False
2,13627491000902,McDonald's,Gastronomia,ATIVO,2026-03-23 08:10:41,,103,63,5619.95,BS,True,False
2,27550252000140,Loungerie,Moda,ATIVO,2024-12-11 21:24:20,,23,22,5480.97,BS,True,False
2,03959730000536,World Tennis,Calçados,ATIVO,2026-03-20 14:18:50,,12,10,5342.93,BS,True,False
2,08377511010282,Mac,Beleza e Bem-estar,ATIVO,2024-12-11 21:24:20,,15,15,5311.1,BS,True,False
2,38543106000104,KFC,Gastronomia,ATIVO,2024-12-11 21:24:20,,97,67,5218.51,BS,True,False
2,09054385033409,Salinas,Moda,ATIVO,2026-03-20 08:36:42,,6,6,4464.0,BS,True,False
2,60895361000175,Pampili,Infantil,ATIVO,2026-04-27 13:36:44,,13,13,4380.99,BS,True,False
2,52028509000146,Puket,Moda,ATIVO,2026-03-20 14:29:31,,18,18,4179.33,BS,True,False
2,11581675004266,Água de coco,Moda Feminina,ATIVO,2024-12-23 05:36:04,,4,3,4168.6,BS,True,False
2,52082662000151,Milon,Infantil,ATIVO,2026-03-20 14:18:21,,11,11,4135.4,BS,True,False
2,29224871000170,Criamigos,Infantil,ATIVO,2024-12-11 21:24:20,,13,12,4020.75,BS,True,False
2,04657129000985,Jcanedo,Moda,ATIVO,2024-12-11 21:24:20,,9,8,3974.0,BS,True,False
2,35643566000116,Osklen,Moda,ATIVO,2024-12-11 21:24:20,,10,9,3836.0,BS,True,False
2,36485721001077,Patbo,Moda Feminina,ATIVO,2026-03-20 08:33:58,,2,2,3733.0,BS,True,False
2,55723665000115,Havaianas,Calçados,ATIVO,2025-11-25 07:11:39,,36,36,3709.49,BS,True,False
2,21157895000142,Sinhá Benta,Gastronomia,ATIVO,2024-12-11 21:24:20,,29,24,3689.8,BS,True,False
2,47053209000187,Stanley,Presentes e Acessórios,ATIVO,2024-12-11 21:24:20,,12,11,3627.02,BS,True,False
2,09002550000114,AJFans Balneário Shopping,Promocional,ATIVO,2026-03-23 08:51:06,,3,1,3500.0,BS,True,False
2,31957862000130,Rip Curl,Moda,ATIVO,2024-12-11 21:24:20,,6,5,3328.91,BS,True,False
2,55604646000170,Café Cultura,Gastronomia,ATIVO,2026-03-20 07:54:56,,64,41,3271.43,BS,True,False
2,28436148000192,Valenttina,Moda Feminina,ATIVO,2024-12-11 21:24:20,,10,9,3147.48,BS,True,False
2,33927843000600,Ugg,Moda Feminina,ATIVO,2026-03-20 14:19:04,,2,2,3098.0,BS,True,False
2,11078529000730,Manôa Acessórios,Presentes e Acessórios,ATIVO,2026-03-20 14:18:08,,37,34,3008.9,BS,True,False
2,52203144000149,Usaflex,Calçados,ATIVO,2026-03-20 14:19:20,,7,7,2887.93,BS,True,False
2,46208235000174,Mini Kalzone,Gastronomia,ATIVO,2024-12-11 21:24:20,,130,73,2819.92,BS,True,False
2,08951567000155,Richard's,Moda,ATIVO,2024-12-11 21:24:20,,2,2,2797.0,BS,True,False
2,42887800000116,Giraffa's,Gastronomia,ATIVO,2024-12-11 21:24:20,,38,31,2796.62,BS,True,False
2,55605861000195,Havanna Café,Gastronomia,ATIVO,2026-03-23 08:12:35,,33,23,2768.26,BS,True,False
2,39438057000102,Swell Poke,Gastronomia,ATIVO,2024-12-11 21:24:20,,37,26,2628.0,BS,True,False
2,28970852000120,Sestini,Presentes e Acessórios,ATIVO,2024-12-11 21:24:20,,6,6,2459.3,BS,True,False
2,13566271007759,Calzedonia,Moda,ATIVO,2026-04-17 15:41:38,,6,6,2457.65,BS,True,False
2,01167639003063,Beagle,Moda,ATIVO,2025-06-02 08:37:54,,12,10,2447.92,BS,True,False
2,01512104026708,L'occitane Bresil,Beleza e Bem-estar,ATIVO,2026-03-20 08:01:33,,13,13,2359.77,BS,True,False
2,48328808000129,De Ville Gourmet,Gastronomia,ATIVO,2024-12-11 21:24:20,,32,20,2295.33,BS,True,False
